City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Puerto Ayora,97,EC,1601903086,89,-0.74,-90.35,66.0,5.01
Safi,0,MA,1601903087,60,32.3,-9.24,74.1,20.6
Port Alfred,0,ZA,1601903088,62,-33.59,26.89,73.56,6.13
Ruwi,20,OM,1601903089,66,23.6,58.55,89.6,6.93
Penzance,40,GB,1601903089,82,50.12,-5.54,55.4,27.51
Mar del Plata,75,AR,1601902936,93,-38.0,-57.56,54.0,14.99
Meulaboh,100,ID,1601902967,83,4.14,96.13,80.17,3.38
Bandarbeyla,0,SO,1601903091,74,9.49,50.81,81.93,13.8
Bluff,57,NZ,1601903092,84,-46.6,168.33,54.12,12.01
Punta Arenas,20,CL,1601903061,80,-53.15,-70.92,41.0,12.75
Sitka,90,US,1601903043,81,57.05,-135.33,53.6,12.75
Hambantota,20,LK,1601903094,55,6.12,81.12,89.6,12.75
Port Blair,0,IN,1601903095,82,11.67,92.75,81.57,6.58
Saint Paul Harbor,1,US,1601903095,57,57.79,-152.41,50.0,4.7
Ushuaia,40,AR,1601903096,76,-54.8,-68.3,48.2,13.87
Bethel,27,US,1601903097,89,41.37,-73.41,55.0,5.06
Impfondo,24,CG,1601903097,56,1.64,18.07,89.6,2.46
Hobart,0,AU,1601903098,75,-42.88,147.33,41.0,8.05
Bambous Virieux,75,MU,1601903099,88,-20.34,57.76,73.0,5.82
Ancud,40,CL,1601903100,86,-41.87,-73.82,48.99,8.05
Mataura,58,NZ,1601903101,64,-46.19,168.86,56.97,7.38
Tiznit Province,0,MA,1601903101,36,29.58,-9.5,79.11,7.76
Zemio,20,CF,1601903102,57,5.03,25.14,87.15,2.04
Alaca,0,TR,1601903103,17,40.17,34.84,79.2,8.16
Lorengau,100,PG,1601903104,79,-2.02,147.27,82.08,9.19
Norman Wells,20,CA,1601903105,82,65.28,-126.83,35.6,4.7
Albany,1,US,1601902896,81,42.6,-73.97,50.0,1.16
Agogo,59,GH,1601903106,68,6.8,-1.08,85.08,1.95
Yellowknife,90,CA,1601902814,80,62.46,-114.35,39.2,6.93
